sample_id,set,ad_segment_recall,predicted_ad_precision,start_error_sec,end_error_sec,false_positive_duration_sec
video_001,Development Set,99.56331877729258,83.39429407461594,45.39999999999998,1.0,45.39999999999998
video_002,Development Set,100.0,69.48719667924344,43.0,7.059000000000026,50.059000000000026
video_003,Development Set,78.87323943661971,93.33333333333333,8.0,30.0,8.0
video_004,Development Set,99.86010552631586,63.24473350000005,0.05315989999996873,22.05315989999997,22.05315989999997
video_005,Development Set,55.15151515151515,58.60200096854295,64.28480000000002,74.0,64.28480000000002
video_006,Development Set,92.15686274509804,95.57151426625138,4.583499999999958,13.950000000000045,13.067000000000007
video_007,Development Set,100.0,68.6192468619247,33.0,4.5,37.5
video_008,Development Set,100.0,74.73118279569893,47.0,0.0,47.0
video_009,Development Set,48.47560975609756,55.73745206228571,30.5,43.31650000000002,63.13300000000004
video_010,Development Set,73.27565217391304,70.2225,35.733000000000004,30.733000000000004,35.733000000000004
video_011,Development Set,46.26865671641791,77.5,450.0,430.5,27.0
video_012,Development Set,100.0,73.63996215809708,31.033333,0.46700000000001296,31.500333000000012
video_013,Test Set,53.74569892473118,68.95845261335339,45.0,86.03300000000002,45.0
video_014,Test Set,100.0,56.734693877551024,37.0,69.0,106.0
video_015,Test Set,97.05882352941177,61.6,72.0,3.5,72.0
video_016,Test Set,100.0,67.12078596280826,13.132999999999981,31.933333000000005,45.066332999999986
video_017,Test Set,59.14634146341463,80.83333333333333,23.0,67.0,23.0
video_018,Test Set,100.0,71.41297242064417,40.433333000000005,3.2000000000000455,43.63333300000005
